PELO;PENAS;OVOS;LEITE;VOA;AQUATICO;PREDADOR;DENTES;ESPINHA;RESPIRA;VENENOSO;GARRAS;PERNAS;CAUDA;DOMESTICO;TAMANHO_GATO;TIPO
S;N;N;S;N;N;S;S;S;S;N;N;4;N;N;S;1
S;N;N;S;N;N;N;S;S;S;N;N;4;S;N;S;1
S;N;N;S;N;N;S;S;S;S;N;N;4;N;N;S;1
S;N;N;S;N;N;S;S;S;S;N;N;4;S;N;S;1
S;N;N;S;N;N;N;S;S;S;N;N;4;S;N;S;1
S;N;N;S;N;N;N;S;S;S;N;N;4;S;S;S;1
S;N;N;S;N;N;N;S;S;S;N;N;4;N;S;N;1
S;N;N;S;N;N;S;S;S;S;N;N;4;S;N;S;1
S;N;N;S;N;N;N;S;S;S;N;N;4;S;N;S;1
N;N;N;S;N;S;S;S;S;S;N;S;0;S;N;S;1
S;N;N;S;N;N;N;S;S;S;N;N;4;S;N;S;1
S;N;N;S;S;N;N;S;S;S;N;N;2;S;N;N;1
S;N;N;S;N;N;N;S;S;S;N;N;4;S;N;S;1
S;N;N;S;N;N;S;S;S;S;N;N;2;N;S;S;1
S;N;N;S;N;N;N;S;S;S;N;N;4;S;S;S;1
S;N;N;S;N;N;N;S;S;S;N;N;2;N;N;S;1
S;N;N;S;N;N;N;S;S;S;N;N;4;S;S;N;1
S;N;N;S;N;N;N;S;S;S;N;N;4;S;N;N;1
S;N;N;S;N;N;S;S;S;S;N;N;4;S;N;S;1
S;N;N;S;N;N;S;S;S;S;N;N;4;S;N;S;1
S;N;N;S;N;N;S;S;S;S;N;N;4;S;N;S;1
S;N;N;S;N;S;S;S;S;S;N;N;4;S;N;S;1
S;N;N;S;N;N;S;S;S;S;N;N;4;S;N;N;1
S;N;N;S;N;N;S;S;S;S;N;N;4;S;N;S;1
S;N;N;S;N;N;S;S;S;S;N;N;4;S;N;N;1
S;N;N;S;N;N;N;S;S;S;N;N;4;S;N;S;1
S;N;S;S;N;S;S;N;S;S;N;N;4;S;N;S;1
S;N;N;S;N;N;S;S;S;S;N;N;4;S;N;S;1
S;N;N;S;N;N;N;S;S;S;N;N;4;S;S;S;1
N;N;N;S;N;S;S;S;S;S;N;S;0;S;N;S;1
S;N;N;S;N;N;S;S;S;S;N;N;4;S;N;S;1
S;N;N;S;N;N;S;S;S;S;N;N;4;S;S;S;1
S;N;N;S;N;N;S;S;S;S;N;N;4;S;N;S;1
S;N;N;S;N;N;N;S;S;S;N;N;4;S;S;S;1
S;N;N;S;N;S;S;S;S;S;N;S;0;N;N;S;1
S;N;N;S;N;S;S;S;S;S;N;S;2;S;N;S;1
S;N;N;S;N;N;N;S;S;S;N;N;2;S;N;N;1
S;N;N;S;S;N;N;S;S;S;N;N;2;S;N;N;1
S;N;N;S;N;N;N;S;S;S;N;N;4;S;N;N;1
S;N;N;S;N;N;N;S;S;S;N;N;2;S;N;S;1
S;N;N;S;N;N;S;S;S;S;N;N;4;S;N;S;1
N;S;S;N;S;N;N;N;S;S;N;N;2;S;S;N;2
N;S;S;N;S;N;S;N;S;S;N;N;2;S;N;N;2
N;S;S;N;S;N;N;N;S;S;N;N;2;S;S;N;2
N;S;S;N;S;S;N;N;S;S;N;N;2;S;N;N;2
N;S;S;N;S;N;N;N;S;S;N;N;2;S;N;S;2
N;S;S;N;S;S;S;N;S;S;N;N;2;S;N;N;2
N;S;S;N;S;N;S;N;S;S;N;N;2;S;N;N;2
N;S;S;N;N;N;S;N;S;S;N;N;2;S;N;N;2
N;S;S;N;S;N;N;N;S;S;N;N;2;S;N;N;2
N;S;S;N;N;N;N;N;S;S;N;N;2;S;N;S;2
N;S;S;N;S;N;N;N;S;S;N;N;2;S;S;N;2
N;S;S;N;N;S;S;N;S;S;N;N;2;S;N;S;2
N;S;S;N;S;N;N;N;S;S;N;N;2;S;N;N;2
N;S;S;N;N;N;S;N;S;S;N;N;2;S;N;S;2
N;S;S;N;S;S;S;N;S;S;N;N;2;S;N;N;2
N;S;S;N;S;S;S;N;S;S;N;N;2;S;N;N;2
N;S;S;N;S;N;N;N;S;S;N;N;2;S;N;N;2
N;S;S;N;S;S;N;N;S;S;N;N;2;S;N;S;2
N;S;S;N;S;N;S;N;S;S;N;N;2;S;N;S;2
N;S;S;N;S;N;N;N;S;S;N;N;2;S;N;N;2
N;N;S;N;N;N;S;S;S;S;S;N;0;S;N;N;3
N;N;N;N;N;S;S;S;S;N;S;N;0;S;N;N;3
N;N;S;N;N;N;S;S;S;S;N;N;0;S;N;N;3
N;N;S;N;N;N;N;N;S;S;N;N;4;S;N;S;3
N;N;S;N;N;N;S;S;S;S;N;N;4;S;N;N;3
N;N;S;N;N;S;S;S;S;N;N;S;0;S;N;N;4
N;N;S;N;N;S;N;S;S;N;N;S;0;S;S;N;4
N;N;S;N;N;S;S;S;S;N;N;S;0;S;N;N;4
N;N;S;N;N;S;S;S;S;N;N;S;0;S;N;N;4
N;N;S;N;N;S;S;S;S;N;N;S;0;S;N;S;4
N;N;S;N;N;S;N;S;S;N;N;S;0;S;N;N;4
N;N;S;N;N;S;S;S;S;N;N;S;0;S;N;N;4
N;N;S;N;N;S;S;S;S;N;N;S;0;S;N;S;4
N;N;S;N;N;S;S;S;S;N;N;S;0;S;N;N;4
N;N;S;N;N;S;N;S;S;N;N;S;0;S;N;N;4
N;N;S;N;N;S;N;S;S;N;N;S;0;S;N;N;4
N;N;S;N;N;S;S;S;S;N;S;S;0;S;N;S;4
N;N;S;N;N;S;S;S;S;N;N;S;0;S;N;S;4
N;N;S;N;N;S;S;S;S;S;N;N;4;N;N;N;5
N;N;S;N;N;S;S;S;S;S;S;N;4;N;N;N;5
N;N;S;N;N;S;S;S;S;S;N;N;4;S;N;N;5
N;N;S;N;N;S;N;S;S;S;N;N;4;N;N;N;5
N;N;S;N;N;N;N;N;N;S;N;N;6;N;N;N;6
N;N;S;N;S;N;N;N;N;S;N;N;6;N;N;N;6
S;N;S;N;S;N;N;N;N;S;S;N;6;N;S;N;6
S;N;S;N;S;N;N;N;N;S;N;N;6;N;N;N;6
N;N;S;N;S;N;S;N;N;S;N;N;6;N;N;N;6
S;N;S;N;S;N;N;N;N;S;N;N;6;N;N;N;6
N;N;S;N;N;N;N;N;N;S;N;N;6;N;N;N;6
S;N;S;N;S;N;N;N;N;S;S;N;6;N;N;N;6
N;N;S;N;N;N;S;N;N;N;N;N;0;N;N;N;7
N;N;S;N;N;S;S;N;N;N;N;N;4;N;N;N;7
N;N;S;N;N;S;S;N;N;N;N;N;6;N;N;N;7
N;N;S;N;N;S;S;N;N;N;N;N;6;N;N;N;7
N;N;S;N;N;S;S;N;N;N;N;N;8;N;N;S;7
N;N;N;N;N;N;S;N;N;S;S;N;8;S;N;N;7
N;N;S;N;N;S;S;N;N;N;S;N;0;N;N;N;7
N;N;S;N;N;N;N;N;N;S;N;N;0;N;N;N;7
N;N;S;N;N;S;S;N;N;N;N;N;5;N;N;N;7
N;N;S;N;N;N;N;N;N;S;N;N;0;N;N;N;7